D,G
-1.7995862435782328e-05,-1.7995862435782328e-05
-1.0610952813294716e-05,-1.0610952813294716e-05
1.7997439272221527e-06,1.7997439272221527e-06
-3.304848723928444e-05,-3.304848723928444e-05
-2.6149768018512987e-05,-2.6149768018512987e-05
-5.560583667829633e-05,-5.560583667829633e-05
-6.260073860175908e-05,-6.260073860175908e-05
-0.00011656821880023926,-0.00011656821880023926
-0.00019213312771171331,-0.00019213312771171331
-0.00030142409377731383,-0.00030142409377731383
-0.00024090420629363507,-0.00024090420629363507
-0.0004405761428643018,-0.0004405761428643018
-0.00023249430523719639,-0.00023249430523719639
-0.0001246591709787026,-0.0001246591709787026
9.093944390770048e-05,9.093944390770048e-05
5.325164238456637e-05,5.325164238456637e-05
5.0527710300229955e-06,5.0527710300229955e-06
-1.897620313684456e-05,-1.897620313684456e-05
-2.8568079869728535e-05,-2.8568079869728535e-05
3.527743501763325e-06,3.527743501763325e-06
-4.869316398981027e-05,-4.869316398981027e-05
6.190793646965176e-05,6.190793646965176e-05
-5.3739120630780235e-05,-5.3739120630780235e-05
-0.000154192530317232,-0.000154192530317232
-2.047845373454038e-05,-2.047845373454038e-05
-8.519717812305316e-05,-8.519717812305316e-05
-2.220102760475129e-05,-2.220102760475129e-05
-9.458065323997289e-05,-9.458065323997289e-05
-0.0001482073712395504,-0.0001482073712395504
-5.1638056902447715e-05,-5.1638056902447715e-05
-8.478292147628963e-05,-8.478292147628963e-05
3.909639053745195e-05,3.909639053745195e-05
-8.897483348846436e-05,-8.897483348846436e-05
-0.0002478701644577086,-0.0002478701644577086
-7.890505366958678e-05,-7.890505366958678e-05
-0.00011814534809673205,-0.00011814534809673205
-0.0001520701771369204,-0.0001520701771369204
8.995788084575906e-05,8.995788084575906e-05
-8.129392517730594e-05,-8.129392517730594e-05
-9.307648724643514e-05,-9.307648724643514e-05
-7.58771420805715e-05,-7.58771420805715e-05
-0.00016726639296393842,-0.00016726639296393842
-0.00023660702572669834,-0.00023660702572669834
-0.00011263362102909014,-0.00011263362102909014
-0.0002451803011354059,-0.0002451803011354059
-0.00031933613354340196,-0.00031933613354340196
0.00012211245484650135,0.00012211245484650135
-0.00012548480299301445,-0.00012548480299301445
0.00010295936226611957,0.00010295936226611957
-2.696343835850712e-05,-2.696343835850712e-05
-5.1324281230336055e-05,-5.1324281230336055e-05
-0.00017595078679732978,-0.00017595078679732978
-0.00012423396401572973,-0.00012423396401572973
-7.597335934406146e-05,-7.597335934406146e-05
-0.00013443018542602658,-0.00013443018542602658
-2.1085568732814863e-05,-2.1085568732814863e-05
-0.00011736154556274414,-0.00011736154556274414
-3.473205288173631e-05,-3.473205288173631e-05
-7.203775021480396e-05,-7.203775021480396e-05
-0.00010968787682941183,-0.00010968787682941183
-0.0003212698793504387,-0.0003212698793504387
-0.00010427449160488322,-0.00010427449160488322
-5.2336708904476836e-05,-5.2336708904476836e-05
-5.1818573410855606e-05,-5.1818573410855606e-05
