real,prediction
3289.4974,1296.9312744140625
3309.7153,1296.648681640625
3333.5611,1296.1513671875
3333.8754,1296.003173828125
3304.9787,1296.0279541015625
3297.0981,1296.0399169921875
3300.5654,1295.81005859375
3280.5673,1295.8499755859375
3292.5742,1296.204833984375
3314.209,1296.38330078125
3288.7967,1296.657470703125
3188.2351,1297.086669921875
3134.2759,1297.0267333984375
3172.7777,1296.0738525390625
3165.2126,1295.0838623046875
3174.5089,1294.876953125
3177.7208,1294.5506591796875
3192.3403,1294.1759033203125
3144.3321,1293.671630859375
3163.3404,1293.16650390625
3146.0926,1292.0625
3190.6492,1291.3011474609375
3220.8453,1290.4227294921875
3205.2522,1290.0205078125
3197.8959,1289.71044921875
3153.1063,1289.09814453125
3118.7596,1288.544189453125
3096.889,1287.740234375
3127.4389,1286.956298828125
3111.1707,1286.33447265625
3085.0573,1286.191650390625
3136.0395,1285.768798828125
3122.9082,1285.146240234375
3121.9334,1285.221435546875
3088.0347,1284.9957275390625
3097.6039,1284.6365966796875
3105.6598,1283.9744873046875
3104.0925,1283.5609130859375
3136.8363,1283.249267578125
3169.7014,1282.87744140625
3165.3733,1282.8790283203125
3176.1376,1283.001708984375
3180.7564,1282.922119140625
3183.8159,1282.874267578125
3192.8069,1282.8465576171875
3191.9481,1282.924560546875
3172.7664,1283.15673828125
3193.4531,1283.46923828125
3219.7398,1283.6927490234375
3214.5888,1284.2523193359375
3205.437,1284.945068359375
3173.5309,1285.4527587890625
3156.7261,1285.86962890625
3149.6646,1285.9493408203125
3143.2076,1286.0625
3085.397,1286.2354736328125
3098.0764,1286.431884765625
3102.088,1286.07177734375
3098.402,1286.02490234375
3114.7687,1285.965087890625
3117.5251,1285.7039794921875
3128.7154,1285.4605712890625
3100.6848,1285.107421875
3063.6102,1284.76025390625
3081.4473,1284.083984375
3071.4636,1283.208984375
3066.0469,1282.7486572265625
3048.7967,1282.227294921875
2984.9706,1281.7392578125
2925.5611,1281.111328125
2940.5863,1279.9755859375
2891.9685,1278.66845703125
2908.624,1277.909423828125
2850.24,1276.773193359375
2854.2579,1275.96044921875
2825.9872,1274.53076171875
2848.3721,1273.3189697265625
2845.6801,1271.9288330078125
2786.8878,1270.791015625
2793.179,1269.5059814453125
2777.5227,1267.6573486328125
2768.8737,1266.1326904296875
2815.79,1264.57080078125
2828.4926,1263.047119140625
2794.3596,1262.1014404296875
2844.1932,1261.158447265625
2835.4627,1259.7940673828125
2837.5092,1259.1060791015625
2806.9194,1258.2664794921875
2818.3953,1257.5631103515625
2805.0106,1256.79541015625
2837.8623,1256.47998046875
2863.5711,1256.103759765625
2911.4646,1256.22021484375
2912.3134,1256.43359375
2915.2974,1257.012939453125
2889.6936,1257.31982421875
2896.0109,1257.64013671875
2884.6799,1257.7242431640625
2897.3997,1258.0712890625
