prediction,real
3391.4769663950906,3388.2838
3393.5667750380053,3386.1
3383.7601491141304,3390.5233
3395.266475481222,3378.4704
3365.9640097974398,3372.0407
3365.757021430782,3381.7937
3391.4342217204317,3370.1721
3358.291370659629,3378.6481
3387.1834538857524,3380.699
3382.398425264375,3388.2477
3395.6841437516296,3396.8975
3405.5575484966153,3407.5671
3418.240924840612,3416.8124
3425.65802017999,3390.3371
3364.2698735591916,3393.3417
3396.087788918654,3395.9125
3398.379735853452,3383.3095
3370.721303814175,3371.7441
3360.165922837968,3388.1742
3404.789966589149,3413.5748
3438.9897421950873,3415.4602
3417.0794073898965,3427.7946
3440.6518252495766,3432.6731
3437.5708810845986,3447.8358
3463.0523728878225,3429.5482
3411.285810395159,3402.5245
3376.097218108588,3399.2503
3396.041121206026,3382.9075
3366.813379859151,3392.3988
3402.148627565858,3410.4977
3428.6176408151546,3430.4643
3450.576814621172,3351.9182
3275.5676862909727,3353.8207
3355.742800844736,3322.2298
3290.4430790433794,3333.657
3345.30331200917,3337.862
3341.9535749937186,3317.1884
3296.4272496918215,3317.6174
3317.960325989062,3309.6183
3301.163653350043,3303.6751
3297.6214311901267,3293.9648
3283.9354072122683,3272.0542
3250.4481647614502,3289.9924
3308.634333389032,3322.1956
3354.646577282293,3280.8136
3239.6320297152515,3303.0373
3325.541804127886,3292.4385
3281.4536225694865,3266.1371
3239.5933395363495,3267.9224
3269.814246650853,3296.5384
3325.52528455162,3287.6057
3278.1067327072874,3300.0593
3312.608865767009,3297.063
3293.789426286872,3280.461
3264.038401227899,3306.1246
3332.0539813021583,3275.7828
3245.410009710421,3296.3847
3317.510613436283,3307.1721
3317.9836517860645,3348.3259
3390.332648944982,3369.1084
3389.422151947348,3385.7102
3402.378009664281,3391.7501
3397.612925769812,3409.4795
3427.514274257342,3413.8996
3418.328890295343,3421.8343
3429.5739757885967,3425.3449
3428.854760188147,3428.9407
3432.693237850633,3410.4882
3391.932678800481,3436.594
3463.342684836431,3444.6713
3452.694273455318,3474.7540000000004
3505.285535371449,3487.864
3501.1613204038654,3501.3622
3515.1091966856998,3546.5048
3592.3986941624635,3559.4653
3572.3410109424667,3548.3070000000002
3537.1587370846573,3558.1288
3567.788399540286,3523.0007
3488.2622419993236,3488.009
3453.004302880831,3480.8334
3473.4751419078893,3446.9799
3413.5903055285658,3462.0808
3477.7373206279285,3487.4970000000003
3513.1134025958827,3370.652
3258.443911609211,3309.2598
3247.7459106790925,3262.0504
3214.759397950703,3129.8508
3003.5894881244567,3154.1254
3178.5208617483513,3184.9587
3217.5796610883503,3199.1589
3212.8961376377397,3268.5589
3340.311023042227,3289.0241
3308.632860460636,3329.5737
3370.5068693247945,3292.0679
3254.743563201319,3259.408
3227.8446430072645,3273.7549
3288.5078936318077,3254.5283
3235.449538330792,3256.9263
3259.3677662773266,3289.6419
3322.864563097555,3271.6683
3253.887894569353,3288.4055
3305.5029542532684,3307.1656
3326.0704778166987,3326.6992
3346.582069931408,3310.2389
3293.514754730327,3291.3819
3272.804710914181,3291.112
3290.8646901637826,3269.8821
3248.5714648687317,3279.2517
3288.8234022986735,3290.6399
3301.92527898796,3280.9521
3271.120892815559,3263.4803
3246.360999859585,3152.7608
3046.5304437609525,3133.7218
3114.2614190677286,3166.6488
3200.2436285001318,3122.2895
3077.4325638698897,3160.5306
3200.403144570063,3168.8966
