D
0.0009437207481823862
0.0003440317523200065
0.0001311135565629229
4.571030513034202e-05
3.107418888248503e-05
2.893508644774556e-05
2.9307482691365294e-05
1.4680656931886915e-05
1.4974420082580764e-05
1.682384572632145e-05
1.6235129805863835e-05
1.763935506460257e-05
3.405301322345622e-05
3.4590742870932445e-05
2.1131036191945896e-05
1.1521920896484517e-05
7.363105396507308e-06
1.6734236851334572e-05
1.266523941012565e-05
1.5335961506934837e-05
1.700797838566359e-05
1.5158174392126966e-05
1.466768571845023e-05
1.3930607565271202e-05
1.3080780263408087e-05
2.0452464013942517e-05
1.5302102838177234e-05
1.516269549028948e-05
1.0832727639353834e-05
1.1227481081732549e-05
1.1718986570485868e-05
1.346926910628099e-05
1.159581370302476e-05
1.1881932550750207e-05
1.4251869288273156e-05
1.3143743672117125e-05
8.218428774853237e-06
1.3821046195516828e-05
1.3628641681862064e-05
1.0512059816392139e-05
1.1308748071314767e-05
1.0732996997830924e-05
9.696798770164605e-06
9.668796337791719e-06
1.1233916666242294e-05
1.6696491002221592e-05
1.0828382073668763e-05
1.1623102182056755e-05
1.0175594070460647e-05
8.854693078319542e-06
9.553125892125536e-06
7.572125014121411e-06
6.74370176056982e-06
5.900566065974999e-06
8.782545592112001e-06
7.423584975185804e-06
9.972229236154817e-06
8.745230843487661e-06
1.1108752005384304e-05
9.323778613179456e-06
6.542302344314521e-06
6.006870535202324e-06
6.739005584677216e-06
6.0120210036984645e-06
8.89579769136617e-06
6.765532361896476e-06
1.1346543033141643e-05
8.339879059349187e-06
7.556142463727156e-06
7.757838830002584e-06
5.556564701691968e-06
8.59236388350837e-06
6.955287517484976e-06
7.184219157352345e-06
8.455239367322065e-06
7.415382697217865e-06
7.306797670025844e-06
8.71245993039338e-06
9.514016710454598e-06
6.788850441807881e-06
6.2391945903073065e-06
9.187519026454538e-06
1.445906855224166e-05
1.510739002696937e-05
1.3211526493250858e-05
1.3542216947826091e-05
1.413310928910505e-05
1.1517281564010773e-05
1.2764978237100877e-05
1.1151840226375498e-05
1.1328226719342638e-05
9.483139365329407e-06
7.963501047925092e-06
7.594474936922779e-06
7.519731298089027e-06
7.383431693597231e-06
6.7409050643618684e-06
7.720655958110001e-06
1.0138471225218382e-05
1.362960938422475e-05
9.67969299381366e-06
8.356954822374973e-06
9.53008475335082e-06
1.1437327884777915e-05
9.292825779994018e-06
8.448472726740874e-06
1.0703850421123207e-05
8.87321129994234e-06
8.070977855823003e-06
9.419607522431761e-06
9.261781997338403e-06
8.46142847876763e-06
7.815733624738641e-06
7.560899121017428e-06
8.152310329023749e-06
9.670563485997263e-06
