real,prediction
2805.0106,2798.8551758140325
2837.8623,2759.6435966588256
2863.5711,2838.8524340551494
2911.4646,2870.652980537593
2912.3134,2927.9288193467855
2915.2974,2924.3167244781253
2889.6936,2908.0462478518484
2896.0109,2877.9095725343823
2884.6799,2869.06118168807
2897.3997,2866.6031523412466
