prediction,real
3361.1204316685844,3365.2426
3363.7159713417504,3376.4188
3381.9606582120473,3379.488
3385.3004786558936,3384.147
3390.066418862725,3371.4256
3374.3848420389877,3353.6192
3349.734454091162,3362.8587
3366.318136741859,3356.8446
3359.6635471390496,3365.9959
3372.808601391187,3357.8123
3364.334828897625,3352.5294
3351.9749852051054,3341.5487
3339.0938569000564,3343.5826
3344.851087856435,3345.2717
3348.0442804815925,3339.6421
3341.6821737671758,3348.9431
3354.4659872182583,3374.3781
3387.9381211012,3382.9879
3392.441938326018,3388.2838
3395.789652798256,3386.1
3388.9967238519857,3390.5233
3394.554600561926,3378.4704
3379.399042235353,3372.0407
3369.2900406182157,3381.7937
3387.797496350375,3370.1721
3373.0577707568873,3378.6481
3383.551372649583,3380.699
3384.1352695565542,3388.2477
3395.7395768041283,3396.8975
3403.0087656146793,3407.5671
3414.1471997235913,3416.8124
3427.0420115888082,3390.3371
3388.32925943207,3393.3417
3397.557366062716,3395.9125
3401.5004328865843,3383.3095
3382.980698586537,3371.7441
3372.889253364363,3388.1742
3392.759593691922,3413.5748
3427.053727067032,3415.4602
3420.4666843003192,3427.7946
3438.199277876796,3432.6731
3439.0017144317017,3447.8358
3457.6530996807646,3429.5482
3426.7873990970916,3402.5245
3395.7679382506317,3399.2503
3392.3994318511445,3382.9075
3380.2484128762276,3392.3988
3397.527586125487,3410.4977
3421.9963947047627,3430.4643
3444.9122554731816,3351.9182
3341.4669039984196,3353.8207
3349.7857444348083,3322.2298
3315.8290464981797,3333.657
3336.4464439116036,3337.862
3344.8360078929422,3317.1884
3316.289825595468,3317.6174
3319.020549213218,3309.6183
3307.601442299091,3303.6751
3305.350331396348,3293.9648
3292.541393588559,3272.0542
3268.479742643659,3289.9924
3298.4823675858943,3322.1956
3339.4789954797784,3280.8136
3279.7333587370067,3303.0373
3307.9545097979835,3292.4385
3293.010393977709,3266.1371
3259.001701361011,3267.9224
3269.3706698938104,3296.5384
3309.8009772041187,3287.6057
3291.2059646111884,3300.0593
3307.6802872862677,3297.063
3298.221371193259,3280.461
3280.714480806119,3306.1246
3314.516533802018,3275.7828
3271.6554331985844,3296.3847
3302.993560750522,3307.1721
3312.0825651667396,3348.3259
3368.6410708363583,3369.1084
3383.549495543667,3385.7102
3392.8894165636084,3391.7501
3400.2058523795554,3409.4795
3420.654233394946,3413.8996
3419.518842548542,3421.8343
3430.7702594143298,3425.3449
3430.109780820704,3428.9407
3431.6744980581916,3410.4882
3408.634523905789,3436.594
3448.1788415361725,3444.6713
3453.358185928216,3474.7540000000004
3487.350971787014,3487.864
3499.2103202486733,3501.3622
3513.2387567489072,3546.5048
3563.0047976768597,3559.4653
3567.700479927944,3548.3070000000002
3554.5024095587632,3558.1288
3561.612356189395,3523.0007
3517.487698336773,3488.009
3479.4732003994363,3480.8334
3477.442905513322,3446.9799
3436.5000723782077,3462.0808
3469.209726229073,3487.4970000000003
3498.4520373535006,3370.652
3340.4765177600157,3309.2598
3280.6209075847546,3262.0504
3237.975603911052,3129.8508
3068.0993956527195,3154.1254
3147.457201618818,3184.9587
3194.3616950221117,3199.1589
3207.6009896260866,3268.5589
3292.967124892759,3289.0241
3306.7796142629163,3329.5737
3349.63201160853,3292.0679
3279.7900714295,3259.408
3247.1332850087983,3273.7549
3273.663700099171,3254.5283
3248.505512396607,3256.9263
3259.3756065157313,3289.6419
3300.67855083292,3271.6683
3275.0842445809144,3288.4055
3298.219834052254,3307.1656
3320.84973328456,3326.6992
3341.1577754739474,3310.2389
3314.595804886776,3291.3819
3284.0118679858606,3291.112
3290.095599370485,3269.8821
3267.6721548715373,3279.2517
3283.825616790963,3290.6399
3299.2151715544132,3280.9521
3281.5772121904556,3263.4803
3262.537590570348,3152.7608
3119.933650159701,3133.7218
3121.7084202718293,3166.6488
3173.7961268671575,3122.2895
3110.49066060223,3160.5306
3177.542084099295,3168.8966
3176.4085206069976,3163.179
3164.485756036046,3136.6332
3130.8980815929117,3131.1114
3125.83057669697,3138.2936
3141.3747414601585,3190.3216
3209.6914505020954,3208.0818
3223.586888321251,3180.1583
3177.7934372702493,3159.0521
3151.862655483162,3110.6489
3096.2972691590226,3066.7967
3052.984731942087,3091.3987
3095.7489615037202,3117.3759999999997
3129.723183265329,3071.5425
3057.854761304161,3068.012
3066.455078482493,3128.9271
3150.8910127126674,3117.9739
3120.889007767116,3075.0301
3056.092453835543,3082.2316
3082.213697965748,3081.1773
3077.8462828735446,3100.8586
3109.481387304057,3091.0334
3088.0618775412427,3136.6448
3152.920552906148,3161.4976
3178.8803689444862,3159.1502
3164.2632526959183,3174.4127
3180.6847206298876,3163.2632
3164.5341908354303,3174.032
3179.8636810913936,3192.1183
3197.498873549306,3169.5652
3158.3514104711476,3154.2825
3147.799984065269,3193.3034
3203.951711359792,3213.8404
3226.1169618979156,3214.3497
3222.9498943528743,3168.9642
3154.7590425262542,3154.6506
3149.327035173265,3141.3032
3136.0498763181763,3135.0821
3131.5686671661483,3120.4605
3118.8570355324173,3041.4434
3016.566184786961,3095.4737
3108.927231719181,3075.1372
3076.1052764813217,3091.1909
3097.463025363605,3114.2055
3128.7441824292882,3115.1803
3122.930913815997,3109.4988
3108.309369981791,3067.1478
3053.1626722352903,3052.7831
3042.271670132427,3079.8018
3087.7306210791817,3049.7965
3046.3656274890704,3044.1597
3039.6409134616424,3021.9008
3013.078980544374,2907.8221
2872.370508709581,2915.7314
2910.2033313075635,2875.8099
2861.2039819596453,2889.7603
2888.352739498377,2859.3364
2855.636149654119,2844.5081
2835.967778505484,2813.1775
2797.20730731651,2786.8966
2780.9238583522942,2847.4181
2865.6270669245278,2775.5570000000002
2754.1241339672883,2786.8878
2787.750986025491,2759.1259999999997
2754.274757658835,2733.8819
