test,prediction
3230.028076171875,3244.8642578125
3218.311767578125,3271.187255859375
3233.86572265625,3280.2890625
3242.40625,3223.482421875
3240.66455078125,3208.423583984375
3216.745849609375,3215.3271484375
3212.760009765625,3287.570556640625
3237.0244140625,3178.679931640625
3239.327880859375,3266.16748046875
3241.759765625,3262.151123046875
3268.935302734375,3270.48388671875
3237.447265625,3283.214111328125
3250.80810546875,3316.716552734375
3261.61083984375,3264.561767578125
3245.2197265625,3307.25634765625
3248.54931640625,3245.103271484375
3269.4453125,3246.8427734375
3266.955078125,3270.67431640625
3252.947998046875,3259.10009765625
3241.314208984375,3276.699951171875
3210.23681640625,3300.314208984375
3222.514404296875,3317.665771484375
3270.30517578125,3260.880615234375
3281.004638671875,3310.62353515625
3286.615966796875,3271.624755859375
3269.392578125,3303.9287109375
3288.965576171875,3286.79931640625
3273.830078125,3264.26904296875
3275.960205078125,3282.132080078125
3246.06689453125,3302.13232421875
3222.167236328125,3310.736083984375
3196.71337890625,3340.74267578125
3170.686767578125,3307.92431640625
3172.100341796875,3246.85302734375
3173.151123046875,3259.88134765625
3129.531005859375,3282.52880859375
3134.5673828125,3208.07958984375
3140.846923828125,3228.72265625
3152.186767578125,3264.887451171875
3154.658203125,3211.3037109375
3143.7119140625,3183.423828125
3135.345947265625,3258.45361328125
3127.36865234375,3214.893798828125
3103.037841796875,3170.238037109375
3078.61279296875,3135.873046875
3080.527099609375,3159.429931640625
3052.784912109375,3177.417236328125
3061.500244140625,3134.54443359375
3083.51318359375,3131.96142578125
3090.22900390625,3149.22216796875
3112.964111328125,3129.481201171875
3104.44140625,3105.976806640625
3090.138916015625,3160.029052734375
3090.630859375,3141.0
3075.675537109375,3084.376220703125
3061.94677734375,3084.812255859375
3064.07568359375,3162.88671875
3107.831298828125,3063.3505859375
3110.058837890625,3119.394287109375
3117.177978515625,3110.936279296875
3102.623291015625,3108.913330078125
3105.5400390625,3108.42724609375
3091.65625,3075.056396484375
3102.1259765625,3078.7998046875
3140.324951171875,3131.1455078125
3150.33349609375,3097.537353515625
3158.400146484375,3122.279052734375
3139.87646484375,3179.142822265625
3153.742919921875,3103.994384765625
3130.673828125,3150.194091796875
3132.486328125,3119.640869140625
3123.166259765625,3135.534912109375
3144.3740234375,3109.35009765625
3140.013671875,3083.310791015625
3156.211669921875,3166.14501953125
3147.453125,3092.852783203125
3157.873046875,3182.675537109375
3185.444091796875,3097.189697265625
3191.19677734375,3129.926025390625
3173.201416015625,3123.98583984375
3188.0625,3124.39990234375
3192.4267578125,3163.077392578125
3195.911376953125,3128.958740234375
3182.803955078125,3170.3583984375
3207.134033203125,3142.310546875
3212.44384765625,3162.724365234375
3217.956787109375,3177.99658203125
3212.6318359375,3168.7841796875
3203.03759765625,3158.6474609375
3197.5439453125,3205.090576171875
3218.1630859375,3165.2421875
3222.416748046875,3158.3427734375
3176.464599609375,3166.559814453125
3187.567138671875,3173.9375
3230.97607421875,3218.92822265625
3244.864501953125,3174.848876953125
3237.981689453125,3177.73828125
3250.598876953125,3186.8994140625
3243.689453125,3190.56201171875
3247.6748046875,3177.462158203125
3249.78125,3207.250244140625
3253.240478515625,3206.88671875
3273.0283203125,3163.646728515625
3292.63818359375,3217.524169921875
3285.056640625,3242.25390625
3272.9287109375,3255.610107421875
3262.080810546875,3218.428955078125
3279.45654296875,3219.7333984375
3281.872802734375,3184.744873046875
3275.57275390625,3239.33544921875
3261.74951171875,3240.848876953125
3208.54150390625,3264.229248046875
3237.3603515625,3286.28173828125
3251.26171875,3249.052490234375
3246.451171875,3213.615234375
3268.429931640625,3271.18896484375
3268.72412109375,3164.5732421875
3286.905517578125,3281.157958984375
3290.2255859375,3255.308837890625
3287.704833984375,3305.172607421875
3271.51171875,3284.689208984375
3331.522216796875,3300.948974609375
3362.6513671875,3243.799560546875
3365.22607421875,3301.785400390625
3363.62646484375,3271.045654296875
3360.810302734375,3257.654541015625
3367.119140625,3276.19970703125
3379.5830078125,3337.1611328125
3384.31689453125,3291.433349609375
3385.388671875,3308.708251953125
3365.497314453125,3315.2880859375
3365.24267578125,3313.96923828125
3376.418701171875,3320.79150390625
3379.488037109375,3290.796142578125
3384.14697265625,3332.9619140625
3371.42578125,3303.332763671875
3353.619384765625,3343.564208984375
3362.85888671875,3367.987548828125
3356.8447265625,3374.85498046875
3365.995849609375,3338.5986328125
3357.812255859375,3359.1796875
3352.529541015625,3376.530517578125
3341.548828125,3392.256103515625
3343.58251953125,3382.63818359375
3345.271728515625,3386.26318359375
3339.64208984375,3380.028564453125
3348.943115234375,3409.807373046875
3374.3779296875,3381.770263671875
3382.98779296875,3428.09765625
3388.28369140625,3418.03955078125
3386.10009765625,3403.5556640625
3390.5234375,3448.105712890625
3378.470458984375,3405.39111328125
3372.040771484375,3424.7861328125
3381.79345703125,3378.4912109375
3370.172119140625,3418.693359375
3378.648193359375,3426.033935546875
3380.69921875,3411.387451171875
3388.24755859375,3432.19140625
3396.8974609375,3435.38818359375
3407.56689453125,3426.70361328125
3416.8125,3445.521240234375
3390.337158203125,3448.417724609375
3393.341796875,3459.210693359375
3395.912353515625,3409.382080078125
3383.3095703125,3413.327880859375
3371.743896484375,3454.373291015625
3388.174072265625,3412.734130859375
3413.57470703125,3441.994873046875
3415.460205078125,3448.53369140625
3427.79443359375,3436.77099609375
3432.6728515625,3467.869873046875
3447.835693359375,3408.27734375
3429.548095703125,3446.5263671875
3402.524658203125,3434.93505859375
3399.250244140625,3450.649658203125
3382.90771484375,3445.721923828125
3392.398681640625,3426.331787109375
3410.497802734375,3446.733154296875
3430.464111328125,3459.9638671875
3351.91796875,3428.848388671875
3353.82080078125,3462.6787109375
3322.229736328125,3443.356689453125
3333.6572265625,3436.270263671875
3337.862060546875,3432.961669921875
3317.188232421875,3448.83349609375
3317.617431640625,3381.219970703125
3309.6181640625,3382.381103515625
3303.675048828125,3407.965576171875
3293.964599609375,3371.3740234375
3272.053955078125,3421.3935546875
3289.992431640625,3416.939208984375
3322.195556640625,3378.550048828125
3280.8134765625,3381.549560546875
3303.037353515625,3391.105712890625
3292.4384765625,3410.697265625
3266.13720703125,3350.6591796875
3267.92236328125,3416.243896484375
3296.538330078125,3370.107177734375
3287.605712890625,3359.804443359375
3300.059326171875,3297.872314453125
3297.062744140625,3312.081787109375
3280.461181640625,3360.4453125
3306.12451171875,3370.499755859375
3275.78271484375,3376.859375
3296.384765625,3328.28759765625
3307.172119140625,3316.040771484375
3348.325927734375,3340.0302734375
3369.1083984375,3284.019775390625
3385.710205078125,3355.56689453125
3391.75,3306.8603515625
3409.4794921875,3360.325927734375
3413.899658203125,3352.263671875
3421.834228515625,3316.01806640625
3425.344970703125,3371.203369140625
3428.940673828125,3340.573974609375
3410.48828125,3357.01123046875
3436.593994140625,3359.0
3444.671142578125,3385.806884765625
3474.754150390625,3380.24609375
3487.864013671875,3387.66796875
3501.362060546875,3391.254150390625
3546.5048828125,3396.25732421875
3559.465087890625,3385.814697265625
3548.306884765625,3393.71337890625
3558.128662109375,3449.831298828125
3523.000732421875,3435.653564453125
3488.009033203125,3458.504150390625
3480.833251953125,3506.194580078125
3446.97998046875,3483.841064453125
3462.080810546875,3498.501708984375
3487.4970703125,3471.7373046875
3370.652099609375,3462.662353515625
3309.259765625,3460.898681640625
3262.050537109375,3458.262939453125
3129.850830078125,3456.4697265625
3154.125244140625,3430.69287109375
3184.95849609375,3410.043701171875
3199.158935546875,3420.33642578125
3268.558837890625,3408.30859375
3289.024169921875,3341.965087890625
3329.57373046875,3302.7060546875
3292.067626953125,3401.3603515625
3259.408203125,3365.746337890625
3273.755126953125,3386.99267578125
3254.5283203125,3340.482666015625
3256.926513671875,3370.544189453125
3289.641845703125,3285.7109375
3271.668212890625,3319.385009765625
3288.4052734375,3339.890869140625
3307.165771484375,3257.028564453125
3326.69921875,3298.0302734375
3310.23876953125,3350.07421875
3291.3818359375,3263.509765625
3291.112060546875,3347.4658203125
3269.882080078125,3276.1015625
3279.251708984375,3336.132080078125
3290.639892578125,3345.117919921875
3280.951904296875,3325.94921875
3263.480224609375,3287.313720703125
3152.7607421875,3359.864990234375
3133.721923828125,3272.42529296875
3166.64892578125,3226.28515625
3122.28955078125,3318.078857421875
3160.530517578125,3288.049560546875
3168.896484375,3168.129638671875
3163.17919921875,3176.2509765625
3136.63330078125,3214.842529296875
3131.111572265625,3205.5400390625
3138.293701171875,3261.291748046875
3190.321533203125,3155.184326171875
3208.081787109375,3183.755126953125
3180.158203125,3211.88525390625
3159.05224609375,3172.08349609375
3110.64892578125,3132.899658203125
3066.796630859375,3180.914306640625
3091.398681640625,3184.638427734375
3117.3759765625,3120.220947265625
3071.54248046875,3088.271728515625
3068.011962890625,3136.966552734375
3128.92724609375,3100.438720703125
3117.9736328125,3123.380126953125
3075.030029296875,3103.13232421875
3082.231689453125,3126.537841796875
3081.17724609375,3098.796142578125
3100.858642578125,3091.84326171875
3091.033447265625,3120.717041015625
3136.644775390625,3127.1455078125
3161.49755859375,3107.845703125
3159.150146484375,3079.973876953125
3174.41259765625,3130.312744140625
3163.263427734375,3144.032470703125
3174.031982421875,3104.769775390625
3192.1181640625,3074.03857421875
3169.565185546875,3094.305908203125
3154.282470703125,3129.0419921875
3193.30322265625,3121.451904296875
3213.840576171875,3101.82861328125
3214.349609375,3106.361083984375
3168.96435546875,3137.313720703125
3154.650634765625,3160.637451171875
