real,prediction
3388.28369140625,3383.0166015625
3386.10009765625,3389.7158203125
3390.523193359375,3387.11376953125
3378.470458984375,3391.96875
3372.040771484375,3378.93115234375
3381.793701171875,3372.419921875
3370.172119140625,3382.424560546875
3378.648193359375,3370.597900390625
3380.698974609375,3379.06005859375
3388.247802734375,3382.094970703125
3396.8974609375,3390.207275390625
3407.567138671875,3398.951416015625
3416.8125,3409.845947265625
3390.337158203125,3419.925048828125
3393.341796875,3394.297119140625
3395.91259765625,3395.653564453125
3383.3095703125,3397.1455078125
3371.744140625,3383.43408203125
3388.17431640625,3372.763671875
3413.57470703125,3388.44091796875
3415.460205078125,3413.798095703125
3427.794677734375,3416.269287109375
3432.673095703125,3431.492431640625
3447.835693359375,3435.801025390625
3429.548095703125,3448.18896484375
3402.5244140625,3432.40771484375
3399.250244140625,3405.53955078125
3382.907470703125,3401.332763671875
3392.398681640625,3381.694091796875
3410.497802734375,3391.05615234375
3430.46435546875,3410.774658203125
3351.918212890625,3432.262451171875
3353.82080078125,3357.21826171875
3322.229736328125,3356.912353515625
3333.656982421875,3324.49169921875
3337.862060546875,3329.85986328125
3317.1884765625,3338.58251953125
3317.617431640625,3317.041259765625
3309.618408203125,3316.82275390625
3303.675048828125,3310.0
3293.96484375,3300.263427734375
3272.05419921875,3293.83251953125
3289.992431640625,3273.1181640625
3322.195556640625,3288.085205078125
3280.813720703125,3317.287109375
3303.037353515625,3280.06201171875
3292.4384765625,3301.619140625
3266.13720703125,3292.044921875
3267.92236328125,3263.75732421875
3296.538330078125,3265.283447265625
3287.605712890625,3297.577392578125
3300.059326171875,3282.3330078125
3297.06298828125,3300.23828125
3280.4609375,3297.6533203125
3306.12451171875,3279.867431640625
3275.78271484375,3306.386962890625
3296.384765625,3278.470458984375
3307.172119140625,3292.784912109375
3348.325927734375,3309.170166015625
3369.1083984375,3345.871826171875
3385.710205078125,3369.585693359375
3391.75,3391.14453125
3409.4794921875,3394.953857421875
3413.899658203125,3413.950439453125
3421.834228515625,3417.241455078125
3425.344970703125,3424.42529296875
3428.940673828125,3428.178955078125
3410.48828125,3433.810791015625
3436.593994140625,3413.26318359375
3444.67138671875,3442.4384765625
3474.75390625,3447.68798828125
3487.864013671875,3479.76171875
3501.3623046875,3493.588134765625
3546.5048828125,3507.408447265625
3559.46533203125,3553.268798828125
3548.306884765625,3566.076171875
3558.12890625,3555.585693359375
3523.000732421875,3565.859375
3488.009033203125,3530.001953125
3480.83349609375,3492.354248046875
3446.97998046875,3486.166748046875
3462.080810546875,3449.671142578125
3487.4970703125,3461.934814453125
3370.652099609375,3490.515625
3309.259765625,3380.82666015625
3262.05029296875,3315.75439453125
3129.850830078125,3264.947021484375
3154.12548828125,3131.275634765625
3184.958740234375,3147.161376953125
3199.158935546875,3179.15869140625
3268.558837890625,3187.9453125
3289.024169921875,3262.75146484375
3329.57373046875,3286.759033203125
3292.06787109375,3325.186767578125
3259.407958984375,3289.868408203125
3273.7548828125,3256.25
3254.5283203125,3259.379150390625
3256.92626953125,3246.2060546875
3289.641845703125,3240.179931640625
3271.668212890625,3282.866943359375
3288.405517578125,3271.11328125
3307.16552734375,3282.13525390625
3326.69921875,3309.32666015625
3310.239013671875,3327.900146484375
3291.3818359375,3308.349365234375
3291.112060546875,3297.248046875
3269.882080078125,3288.380859375
3279.251708984375,3269.782958984375
3290.639892578125,3282.899169921875
3280.9521484375,3290.911376953125
3263.480224609375,3283.9462890625
3152.7607421875,3266.20947265625
3133.7216796875,3158.27294921875
3166.648681640625,3135.173095703125
3122.28955078125,3160.238525390625
3160.530517578125,3116.26904296875
3168.896484375,3159.28271484375
3163.178955078125,3168.658935546875
3136.63330078125,3162.31787109375
3131.111328125,3134.116943359375
3138.293701171875,3132.184814453125
3190.321533203125,3135.004150390625
3208.081787109375,3184.885986328125
3180.158203125,3202.6953125
3159.052001953125,3180.294189453125
3110.64892578125,3162.469970703125
3066.796630859375,3109.954345703125
3091.398681640625,3061.092041015625
3117.3759765625,3089.908935546875
3071.54248046875,3108.9150390625
3068.011962890625,3071.801513671875
3128.927001953125,3066.99267578125
3117.973876953125,3125.261474609375
3075.030029296875,3114.86328125
3082.231689453125,3077.111083984375
3081.17724609375,3087.966552734375
3100.858642578125,3078.35986328125
3091.033447265625,3094.4921875
3136.644775390625,3089.311279296875
3161.49755859375,3136.775390625
3159.150146484375,3160.48583984375
3174.41259765625,3157.60498046875
3163.26318359375,3173.4892578125
3174.031982421875,3166.64892578125
3192.118408203125,3172.837158203125
3169.565185546875,3192.8232421875
3154.282470703125,3172.079833984375
3193.303466796875,3157.258056640625
3213.84033203125,3195.33349609375
3214.349609375,3216.372314453125
3168.964111328125,3216.32763671875
3154.650634765625,3179.91943359375
3141.30322265625,3162.487060546875
3135.08203125,3141.26123046875
3120.46044921875,3135.372314453125
3041.443359375,3121.894775390625
3095.4736328125,3048.245361328125
3075.13720703125,3093.1982421875
3091.19091796875,3072.254638671875
3114.20556640625,3090.520263671875
3115.180419921875,3117.25927734375
3109.498779296875,3119.008056640625
3067.147705078125,3108.3154296875
3052.783203125,3069.220703125
3079.8017578125,3052.9375
3049.79638671875,3075.518798828125
3044.15966796875,3044.67919921875
3021.90087890625,3039.556884765625
2907.822021484375,3020.169677734375
2915.7314453125,2909.943115234375
2875.809814453125,2911.26416015625
2889.76025390625,2878.54541015625
2859.33642578125,2881.879638671875
2844.508056640625,2857.98486328125
2813.177490234375,2845.134033203125
2786.896484375,2806.24951171875
2847.418212890625,2786.700439453125
2775.556884765625,2838.490966796875
