date,open,high,low,close
2000-01-11,3924.713,3931.079,3691.561,3716.784
2000-01-12,3699.292,3768.144,3585.467,3605.825
2000-01-13,3604.276,3637.681,3552.051,3580.982
2000-01-14,3582.163,3609.192,3524.509,3542.82
2000-01-17,3535.506,3597.772,3496.001,3594.649
2000-01-18,3601.882,3633.106,3558.86,3571.974
2000-01-19,3560.587,3640.089,3559.937,3603.857
2000-01-20,3608.166,3670.19,3603.986,3668.842
2000-01-21,3687.191,3744.273,3644.082,3702.088
2000-01-24,3709.193,3736.43,3646.169,3734.725
2000-01-25,3752.529,3803.773,3702.651,3726.058
2000-01-26,3718.129,3754.1,3700.661,3737.986
2000-01-27,3782.89,3855.349,3754.102,3844.965
2000-01-28,3889.138,3952.407,3869.419,3952.407
2000-02-14,4102.648,4323.352,4096.457,4322.373
2000-02-15,4442.12,4578.615,4343.582,4394.694
2000-02-16,4425.846,4475.015,4329.138,4457.414
2000-02-17,4564.589,4685.486,4256.26,4313.971
2000-02-18,4274.096,4360.426,4095.668,4356.603
2000-02-21,4389.421,4437.855,4275.299,4344.488
2000-02-22,4341.848,4395.909,4174.957,4186.695
2000-02-23,4134.873,4164.699,4039.872,4072.469
2000-02-24,4056.898,4222.656,4056.898,4221.842
2000-02-25,4254.671,4296.545,4189.373,4262.819
2000-02-28,4274.661,4506.052,4244.727,4481.739
2000-02-29,4523.949,4562.378,4369.482,4484.164
2000-03-01,4468.973,4510.381,4398.855,4427.201
2000-03-02,4409.147,4505.64,4375.88,4443.524
2000-03-03,4462.379,4581.614,4462.347,4488.269
2000-03-06,4519.992,4552.267,4311.891,4316.112
2000-03-07,4278.051,4401.652,4261.97,4399.951
2000-03-08,4411.977,4515.682,4373.834,4498.219
2000-03-09,4528.857,4606.71,4474.33,4548.685
2000-03-10,4559.53,4587.45,4450.314,4463.656
2000-03-13,4462.319,4520.79,4451.525,4495.922
2000-03-14,4377.181,4417.8,4239.932,4371.559
2000-03-15,4365.553,4415.473,4326.887,4333.892
2000-03-16,4304.602,4304.602,4100.777,4131.543
2000-03-17,4114.415,4327.976,4114.279,4315.0
2000-03-20,4252.173,4370.676,4231.786,4367.73
2000-03-21,4362.09,4406.869,4350.318,4387.27
2000-03-22,4394.234,4479.9,4384.685,4439.087
2000-03-23,4446.448,4492.907,4381.96,4492.432
2000-03-24,4515.38,4580.684,4455.647,4461.659
2000-03-27,4461.67,4574.226,4461.67,4571.664
2000-03-28,4615.475,4635.665,4546.372,4591.12
2000-03-29,4612.884,4629.555,4510.648,4559.863
2000-03-30,4566.427,4584.777,4539.326,4580.821
2000-03-31,4578.607,4578.607,4488.047,4532.313
2000-04-03,4523.905,4551.078,4506.404,4508.084
2000-04-04,4515.01,4515.01,4403.315,4413.747
2000-04-05,4398.447,4444.695,4381.852,4442.218
2000-04-06,4444.998,4528.808,4436.173,4527.666
2000-04-07,4553.345,4569.185,4513.138,4556.892
2000-04-10,4556.812,4589.931,4522.692,4546.442
2000-04-11,4556.962,4619.4,4511.939,4595.07
2000-04-12,4609.201,4616.774,4499.359,4538.653
2000-04-13,4537.462,4615.47,4528.589,4601.474
2000-04-14,4624.451,4645.884,4585.603,4619.186
2000-04-17,4615.118,4627.034,4495.408,4544.482
2000-04-18,4543.779,4578.044,4501.889,4568.434
2000-04-19,4586.902,4611.65,4567.996,4574.25
2000-04-20,4580.714,4600.913,4574.05,4588.805
2000-04-21,4598.613,4615.748,4551.492,4559.354
2000-04-24,4554.836,4575.743,4518.746,4533.51
2000-04-25,4535.884,4558.511,4495.139,4528.921
2000-04-26,4540.507,4593.364,4536.572,4554.846
2000-04-27,4571.885,4612.253,4539.467,4553.952
2000-04-28,4556.917,4685.383,4531.723,4683.17
2000-05-08,4708.533,4721.563,4641.215,4651.649
2000-05-09,4646.99,4649.73,4523.964,4554.061
2000-05-10,4535.66,4535.66,4428.052,4438.823
2000-05-11,4419.718,4468.601,4355.501,4367.384
2000-05-12,4368.637,4423.496,4347.901,4378.451
2000-05-15,4370.115,4392.455,4275.864,4296.919
2000-05-16,4296.507,4353.746,4296.507,4346.123
2000-05-17,4349.825,4405.451,4314.188,4357.094
2000-05-18,4361.571,4439.942,4341.512,4439.386
2000-05-19,4447.533,4482.443,4417.948,4479.366
2000-05-22,4494.74,4620.549,4484.644,4573.426
2000-05-23,4594.487,4606.573,4517.473,4547.504
2000-05-24,4549.948,4648.27,4549.826,4616.098
2000-05-25,4638.192,4690.698,4635.525,4677.287
2000-05-26,4698.023,4722.826,4630.399,4662.296
2000-05-29,4675.111,4718.641,4661.047,4701.228
2000-05-30,4722.016,4736.723,4616.267,4640.022
2000-05-31,4629.309,4666.987,4614.29,4643.155
2000-06-01,4665.014,4703.229,4665.014,4695.467
2000-06-02,4700.105,4728.939,4664.998,4728.883
2000-06-05,4744.381,4781.772,4698.104,4721.137
2000-06-06,4727.729,4826.937,4727.729,4824.79
2000-06-07,4856.412,4875.051,4800.233,4826.191
2000-06-08,4832.522,4834.587,4739.953,4760.341
2000-06-09,4767.371,4796.33,4708.923,4731.389
